"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.057525958E0,1.375384872E1,-6.658603363E0,-1.267863464E0,1.533338942E1
1.067572958E0,6.531966705E0,-1.378139145E1,-1.790277100E0,1.535572960E1
1.077619958E0,-1.529519348E0,-1.898651733E1,-1.038390656E0,1.907630795E1
1.087666958E0,-1.029873367E1,-2.439028015E1,-1.659299469E0,2.652740010E1
1.097713958E0,-2.275852341E1,-3.059772171E1,-2.738854523E0,3.823182294E1
1.107760958E0,-3.753115356E1,-3.454097168E1,-2.774330750E0,5.108192561E1
1.117806958E0,-4.594545593E1,-3.693389557E1,-3.503913574E0,5.905400048E1
1.127853958E0,-4.544040619E1,-3.709436188E1,-1.445094910E0,5.867631973E1
1.137900958E0,-4.009127975E1,-3.562531677E1,2.257156219E0,5.368024461E1
1.147947958E0,-2.943568817E1,-3.295636688E1,4.555177460E0,4.442219600E1
1.157994958E0,-1.487995697E1,-2.811034424E1,3.891008606E0,3.204285444E1
1.168041958E0,-1.820065155E0,-2.155712173E1,1.750459900E0,2.170452129E1
1.178088958E0,7.151079254E0,-1.529684006E1,9.916877747E-1,1.691492521E1
1.188135333E0,1.333636688E1,-8.740174713E0,1.020577698E0,1.597782571E1
1.198182333E0,2.132375702E1,7.903564453E-2,9.033714294E-1,2.134303024E1
1.208229333E0,3.215059250E1,1.120899078E1,2.137105865E0,3.411552863E1
1.218276333E0,4.263044952E1,2.283321808E1,3.970792694E0,4.852296641E1
1.228323333E0,5.006069824E1,3.370915146E1,6.589447174E0,6.071079982E1
1.238370333E0,5.434374161E1,4.136647797E1,1.116288666E1,6.920287414E1
1.248416333E0,5.421141678E1,4.370356796E1,1.451202209E1,7.113001017E1
1.258463333E0,4.828883286E1,4.091187332E1,1.411639481E1,6.484493318E1
1.268510333E0,4.090169449E1,3.481041138E1,1.136152359E1,5.489806527E1
1.278557333E0,3.502266998E1,2.790242661E1,9.038204956E0,4.568174660E1
1.288604333E0,3.053155930E1,2.098246674E1,6.929390259E0,3.768894364E1
1.298651333E0,2.626573013E1,1.349368973E1,4.642745361E0,2.989186054E1
1.308698333E0,2.086825424E1,5.458698578E0,2.509381714E0,2.171585646E1
1.318745333E0,1.350716171E1,-2.554887085E0,-8.262817383E-2,1.374691576E1
1.328792333E0,4.725822601E0,-9.262887726E0,-2.363285522E0,1.066393955E1
1.338839333E0,-3.990401917E0,-1.526944702E1,-3.721261597E0,1.621502722E1
1.348886333E0,-1.368798569E1,-2.026201492E1,-4.486021271E0,2.486030144E1
1.358933333E0,-2.349963226E1,-2.400288574E1,-3.994144135E0,3.382786467E1
1.368980333E0,-3.217813522E1,-2.749961426E1,-3.545527039E0,4.247625140E1
1.379026333E0,-3.933415421E1,-2.914663925E1,-3.324287109E0,4.906886132E1
1.389073333E0,-4.192242188E1,-2.921474762E1,-1.902843018E0,5.113327435E1
1.399120333E0,-3.681249802E1,-2.832320160E1,-8.845106506E-1,4.645585128E1
1.409167333E0,-2.711895584E1,-2.623983398E1,-2.534230042E-1,3.773633364E1
1.419214333E0,-1.481843491E1,-2.260075150E1,-3.143463135E-2,2.702556141E1
1.429261333E0,-2.327958984E0,-1.769066208E1,-3.454815674E-1,1.784651998E1
1.439308333E0,6.623276825E0,-1.239751923E1,-1.691482544E-2,1.405583740E1
1.449355333E0,1.142888351E1,-7.109316101E0,2.490221558E0,1.368805893E1
1.459402333E0,1.741388763E1,-7.515870667E-1,4.109105072E0,1.790790636E1
1.469449333E0,2.664504135E1,8.185877380E0,5.385351105E0,2.838959006E1
1.479496333E0,3.715663239E1,1.907633057E1,7.708220673E0,4.247279581E1
1.489543333E0,4.643583618E1,2.918600739E1,1.083177521E1,5.590561030E1
1.499590333E0,5.070929947E1,3.613336029E1,1.466051331E1,6.396861284E1
1.509636333E0,4.865766586E1,3.971780640E1,1.809048065E1,6.536312479E1
1.519683333E0,4.440276398E1,3.928580475E1,1.882275787E1,6.220350567E1
1.529730333E0,4.082834702E1,3.580703888E1,1.808149933E1,5.723668903E1
1.539777333E0,3.680636078E1,3.189731918E1,1.672741516E1,5.149712208E1
1.549824333E0,3.299783066E1,2.684352859E1,1.405292679E1,4.479862282E1
1.559871333E0,2.857048737E1,2.093696136E1,9.976753235E0,3.679897695E1
